index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,treasury_balance,total_funding_invested,total_wealth,new_creators_this_step,new_investors_this_step,new_users_this_step,locked_funding_positions,honor_seal_honest_contribution_count,honor_seal_fake_contribution_count,honor_seal_dishonored_contribution_count,honor_seal_sealed_usage_share,honor_seal_dishonored_usage_share,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run,tracing_true_links,tracing_detected_true_links,tracing_false_positive_links,tracing_missed_true_links
239,240,2249,32,30,6,60,0.09600000000000004,25.767000000000863,0.2726286423221491,1.2154560549351434,0.5,0.8593014644501782,0.18242552380635635,0,0,0,1443,90,716,3877.1620868749515,1993.9104627344389,2618.856813281258,6496.018900156564,1993.9104627344389,0.0,0.7651440456678346,0.2348559543321653,0.0,124.83763710937485,900.0,9514.766999999985,0,0,0,0,0,0,0,0.0,0.0,12,4,baseline,0.3,0.6,0.003,0.015,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6315655813671365,0.18242552380635635,2158,1714,19,444
239,240,2256,35,30,6,60,0.10500000000000005,26.310000000000883,0.24469833655906936,1.2693478295107667,0.5,0.8654394702437953,0.18242552380635635,0,0,0,1398,90,768,4020.7373662499595,2042.4130601758286,2561.660432109367,6582.3977983597415,2042.4130601758286,0.0,0.7631932927370172,0.23680670726298286,0.0,171.49914146484315,900.0,9696.309999999987,0,0,0,0,0,0,0,0.0,0.0,13,5,baseline,0.3,0.6,0.003,0.015,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6406754366151906,0.18242552380635635,2165,1748,24,417
239,240,2290,38,30,6,60,0.11400000000000006,25.311000000000845,0.2185351636238464,1.0728436845317304,0.5,0.8290311228388815,0.18242552380635635,0,0,0,1334,90,866,4036.2932903124406,1865.559328515669,2445.3566225000063,6481.649912812823,1865.559328515669,0.0,0.7765050240649343,0.22349497593506568,0.0,115.10175867187496,900.0,9362.310999999983,0,0,0,0,0,0,0,0.0,0.0,14,6,baseline,0.3,0.6,0.003,0.015,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.5958725053347026,0.18242552380635635,2199,1772,24,427
239,240,2252,28,30,6,60,0.08400000000000003,25.71900000000086,0.26087104625749724,1.2222585540217372,0.5,0.8611672649918481,0.18242552380635635,0,0,0,1693,90,469,5225.461106562612,2000.032711953185,1275.9867006250088,6501.447807187836,2000.032711953185,0.0,0.7647430106497184,0.23525698935028153,0.0,97.238480859375,900.0,9498.718999999986,0,0,0,0,0,0,0,0.0,0.0,15,7,baseline,0.3,0.6,0.003,0.015,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.626700890893549,0.18242552380635635,2161,1735,18,426
239,240,2213,40,30,6,60,0.12000000000000006,26.18700000000088,0.24829392325753408,1.2296532160818179,0.5,0.8623562217461632,0.18242552380635635,0,0,0,1478,90,645,4860.823051953133,2006.6879078516026,1768.9782326172133,6629.80128457063,2006.6879078516026,0.0,0.7676500412213453,0.23234995877865472,0.0,118.69780757812497,900.0,9655.186999999987,0,0,0,0,0,0,0,0.0,0.0,16,0,baseline,0.3,0.6,0.003,0.02,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.632599370379846,0.18242552380635635,2122,1700,24,422
239,240,2267,44,30,6,60,0.13200000000000006,26.040000000000873,0.27678824248397116,1.3304490691424828,0.5,0.877875610845646,0.18242552380635635,0,0,0,1669,90,508,5155.166282500106,2097.4041762109696,1246.6730604687575,6401.8393429690905,2097.4041762109696,0.0,0.7532246050512846,0.24677539494871548,0.0,206.7964808203122,900.0,9606.039999999983,0,0,0,0,0,0,0,0.0,0.0,17,1,baseline,0.3,0.6,0.003,0.02,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6559527887610391,0.18242552380635635,2176,1711,20,465
239,240,2177,43,30,6,60,0.12900000000000006,25.239000000000843,0.20847357803339217,1.077448282157281,0.5,0.8329286201795822,0.18242552380635635,0,0,0,1591,90,496,4893.898073281305,1869.703466406295,1597.7364296875169,6491.634502969106,1869.703466406295,0.0,0.7763870479516134,0.22361295204838652,0.0,76.90103062499996,900.0,9338.238999999981,0,0,0,0,0,0,0,0.0,0.0,18,2,baseline,0.3,0.6,0.003,0.02,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.5941062088796775,0.18242552380635635,2086,1678,21,408
239,240,2253,45,30,6,60,0.13500000000000006,25.845000000000866,0.275044865336058,1.2704953008789837,0.5,0.8682392479781278,0.18242552380635635,0,0,0,1275,90,888,3715.0757818749485,2043.4457844140954,2705.4521396875025,6420.527921562845,2043.4457844140954,0.0,0.7585713453987822,0.24142865460121768,0.0,176.87129402343723,900.0,9540.844999999988,0,0,0,0,0,0,0,0.0,0.0,19,3,baseline,0.3,0.6,0.003,0.02,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6349558329828182,0.18242552380635635,2162,1720,35,442
239,240,2252,31,30,6,60,0.09300000000000004,26.50800000000089,0.24000521474420866,1.2856024995195856,0.5,0.8683990736639268,0.18242552380635635,0,0,0,1659,90,503,4899.001071562582,2057.042263281289,1721.2683206250235,6620.269392187829,2057.042263281289,0.0,0.7629401426437437,0.23705985735625623,0.0,185.19634453124985,900.0,9762.507999999983,0,0,0,0,0,0,0,0.0,0.0,20,4,baseline,0.3,0.6,0.003,0.02,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.640534240533199,0.18242552380635635,2161,1710,14,451
239,240,2214,44,30,6,60,0.13200000000000006,26.23500000000088,0.22196231850944836,1.2053502325307284,0.5,0.8564971817325393,0.18242552380635635,0,0,0,1321,90,803,4011.950763242122,1984.815222509806,2646.949492187507,6658.9002554300805,1984.815222509806,0.0,0.7703747621522985,0.2296252378477016,0.0,127.5195220605468,900.0,9671.234999999982,0,0,0,0,0,0,0,0.0,0.0,21,5,baseline,0.3,0.6,0.003,0.02,0.8,0.5,0.5,1.0,1.0,1.0,0.02,1.5,0.1,40,0.5,0.6218571978649643,0.18242552380635635,2123,1713,22,410
