index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run
239,240,448,0,0,0,0,0.0,4.337999999999942,0.45496480825318764,0.002515166666666668,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,358,90,0,2.0743499999999884,2.263650000000005,0.0,2.0743499999999884,2.263650000000005,0.0,0.4781811894882471,0.5218188105117647,0.0,10,2,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18631357995073372,0.2070960258407065,0.18242552380635635
239,240,469,0,0,0,0,0.0,4.385999999999944,0.3645585277808163,0.002397479166666668,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,379,90,0,2.2282687499999927,2.1577312500000074,0.0,2.2282687499999927,2.1577312500000074,0.0,0.5080412106703195,0.49195878932969334,0.0,11,3,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18661769614712084,0.2057675277168545,0.18242552380635635
239,240,466,0,0,0,0,0.0,4.355999999999943,0.4448663775700472,0.002586812500000002,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,376,90,0,2.0278687499999855,2.328131250000013,0.0,2.0278687499999855,2.328131250000013,0.0,0.4655346074380193,0.5344653925619934,0.0,12,4,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18623878271937624,0.2078697492192395,0.18242552380635635
239,240,456,0,0,0,0,0.0,4.26599999999994,0.4113641003417492,0.0023843697916666688,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,366,90,0,2.120067187499982,2.1459328125000012,0.0,2.120067187499982,2.1459328125000012,0.0,0.49696839838256257,0.5030316016174476,0.0,13,5,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18642893664768997,0.2057206457905497,0.18242552380635635
239,240,438,0,0,0,0,0.0,4.445999999999946,0.3707336851429073,0.002713416666666669,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,348,90,0,2.0039249999999846,2.44207499999999,0.0,2.0039249999999846,2.44207499999999,0.0,0.45072537112010996,0.5492746288798963,0.0,14,6,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18617106365749245,0.2090156609303716,0.18242552380635635
239,240,459,0,0,0,0,0.0,4.373999999999944,0.3423478001787661,0.0023427500000000024,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,369,90,0,2.265524999999991,2.1084750000000017,0.0,2.265524999999991,2.1084750000000017,0.0,0.5179526748971239,0.4820473251028872,0.0,15,7,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18667725278261982,0.2052361890239357,0.18242552380635635
239,240,409,0,0,0,0,0.0,5.688000000000004,0.41575410655246414,0.003421966666666674,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,319,90,0,2.608229999999991,3.079769999999948,0.0,2.608229999999991,3.079769999999948,0.0,0.4585495780590698,0.5414504219409187,0.0,16,0,high_investor_share,0.3,0.6,0.008,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18744777146999644,0.21538966848480048,0.18242552380635635
239,240,449,0,0,0,0,0.0,5.840000000000004,0.3938733316059766,0.0037015000000000017,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,359,90,0,2.508649999999999,3.33134999999994,0.0,2.508649999999999,3.33134999999994,0.0,0.42956335616438307,0.5704366438356058,0.0,17,1,high_investor_share,0.3,0.6,0.008,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18730141136990008,0.21806382660938883,0.18242552380635635
239,240,443,0,0,0,0,0.0,5.888000000000004,0.3666590800248464,0.003417822222222229,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,353,90,0,2.811959999999992,3.0760399999999506,0.0,2.811959999999992,3.0760399999999506,0.0,0.47757472826086783,0.5224252717391217,0.0,18,2,high_investor_share,0.3,0.6,0.008,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1878993208039308,0.2153813373347459,0.18242552380635635
239,240,433,0,0,0,0,0.0,5.856000000000004,0.3733915199750202,0.0032565888888888943,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,343,90,0,2.9250699999999967,2.9309299999999623,0.0,2.9250699999999967,2.9309299999999623,0.0,0.49949965846994443,0.5005003415300479,0.0,19,3,high_investor_share,0.3,0.6,0.008,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18815128597294647,0.21411809694218303,0.18242552380635635
