index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window
42,43,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
43,44,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
44,45,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
45,46,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
46,47,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
47,48,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
48,49,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
49,50,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
50,51,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
51,52,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20
